sourceType,platformId,platformLabel,date,region,channel,sourceChannel,merchant,rawMerchant,brand,product,rawProduct,activityName,activityGmv,subsidy,orderId
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(临沧南天路店),大理啤酒,大理V8啤酒470ml瓶装12箱装,大理V8啤酒470ml瓶装12箱装,【品牌联盟券】6月深夜小酒馆38-8,55.0,8.0,4009420338167774723
bill,taobao,淘宝闪购,2026-06-08,CIB苏皖,惠宜选,仓店,惠宜选,帮帮团超市(盐城建湖店),乐堡,乐堡啤酒495ml瓶装,乐堡啤酒495ml/瓶,【品牌联盟券】6月深夜小酒馆38-8,41.4,8.0,4009506171839039028
bill,taobao,淘宝闪购,2026-06-08,CBC-SC,酒小二,酒类专营店,酒小二,酒小二(宜宾大观楼店),乌苏,红乌苏500ml大罐装,乌苏 红罐装啤酒 500ml/罐,6.1-6.30品牌联盟29-6全渠道,36.0,6.0,4009516172007770761
bill,taobao,淘宝闪购,2026-06-08,华中-非湖南,酒小二,酒类专营店,酒小二,酒小二(六盘水万达路店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,【品牌联盟券】6月深夜小酒馆38-8,68.0,8.0,4009556171919100483
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(腾冲新闻路店),大理啤酒,大理V8啤酒470ml瓶装12箱装,大理V8啤酒470ml瓶装12箱装,【品牌联盟券】6月深夜小酒馆38-8,66.0,8.0,4009576171786655466
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(腾冲新闻路店),大理啤酒,大理V8啤酒470ml瓶装12箱装,大理V8啤酒470ml瓶装12箱装,【品牌联盟券】6月深夜小酒馆38-8,-66.0,-8.0,4009576171786655466
bill,taobao,淘宝闪购,2026-06-08,CIB东南,惠宜选,仓店,惠宜选,共橙超市(福清清昌大道店),乌苏,红乌苏620ml大瓶装6箱装,乌苏啤酒620ml*6瓶/箱,【闪购仓】6月深夜小酒馆49-15,55.0,8.0,4009576171870751434
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(腾冲高黎贡店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,【品牌联盟券】6月深夜小酒馆38-8,68.0,8.0,4009576171887181438
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(腾冲高黎贡店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,【品牌联盟券】6月深夜小酒馆38-8,68.0,8.0,4009576171887295037
bill,taobao,淘宝闪购,2026-06-08,YN,酒小二,酒类专营店,酒小二,酒小二(瑞丽双卯店),大理啤酒,大理V8啤酒500ml罐装,大理V8啤酒500ml罐装,嘉士伯_满减券_6月品牌加持满49-10全渠道-新,55.0,10.0,4009716171840721496
bill,taobao,淘宝闪购,2026-06-08,CBC-CQ,永辉,连锁超市,永辉超市,永辉超市(重庆合川区合川宝龙店),乌苏,红乌苏500ml大罐装12箱装,红乌苏啤酒500ml*12罐/箱,【品牌联盟券】6月深夜小酒馆69-15,75.9,15.0,4009796171847935564
